pressure_altitude_ft,rpm,temperature_condition,temperature_delta_c,mcp_percent,ktas,gph
2000,2550,standard,0,77,118,10.5
2000,2500,standard,0,73,115,9.9
2000,2400,standard,0,64,110,9.0
2000,2300,standard,0,57,104,8.1
2000,2200,standard,0,50,97,7.3
2000,2100,standard,0,44,90,6.6
4000,2600,standard,0,77,120,10.4
4000,2550,standard,0,73,117,9.9
4000,2500,standard,0,69,115,9.5
4000,2400,standard,0,61,109,8.5
4000,2300,standard,0,54,102,7.7
4000,2200,standard,0,48,96,7.0
4000,2100,standard,0,42,89,6.4
6000,2650,standard,0,77,122,10.4
6000,2600,standard,0,73,119,9.9
6000,2500,standard,0,65,114,9.0
6000,2400,standard,0,57,108,8.2
6000,2300,standard,0,51,101,7.4
6000,2200,standard,0,45,94,6.7
8000,2700,standard,0,77,124,10.4
8000,2650,standard,0,72,122,9.9
8000,2600,standard,0,68,119,9.4
8000,2500,standard,0,61,112,8.6
8000,2400,standard,0,54,106,7.8
8000,2300,standard,0,48,99,7.1
8000,2200,standard,0,43,92,6.5
10000,2700,standard,0,72,123,9.8
10000,2650,standard,0,68,120,9.4
10000,2600,standard,0,64,117,9.0
10000,2500,standard,0,57,111,8.2
10000,2400,standard,0,51,104,7.5
10000,2300,standard,0,46,97,6.8
12000,2650,standard,0,64,119,8.9
12000,2600,standard,0,61,116,8.5
12000,2500,standard,0,54,109,7.8
12000,2400,standard,0,49,102,7.1
12000,2300,standard,0,44,95,6.6
